Year,Leading Cause,Sex,Race Ethnicity,Fatality
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,145
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5503
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,155
2012,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,17
2008,All Other Causes,F,Black Non-Hispanic,1268
2012,Septicemia (A40-A41),F,Other Race/ Ethnicity,.
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,144
2008,Alzheimer's Disease (G30),F,White Non-Hispanic,151
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,154
2010,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3438
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,28
2013,Alzheimer's Disease (G30),M,Other Race/ Ethnicity,.
2007,All Other Causes,M,Hispanic,988
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,279
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,83
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,222
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,10
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,3990
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,16
2008,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,518
2012,All Other Causes,F,White Non-Hispanic,2444
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,158
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,50
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,229
2011,All Other Causes,M,Asian and Pacific Islander,340
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,155
2011,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",M,Not Stated/Unknown,.
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,184
2009,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,398
2007,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,358
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,206
2014,All Other Causes,M,Other Race/ Ethnicity,74
2007,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,246
2012,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,352
2011,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,83
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1251
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,70
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1868
2007,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,9
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,164
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,171
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,245
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,95
2008,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1080
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Not Stated/Unknown,.
2013,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,622
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,134
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,205
2008,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,265
2010,Viral Hepatitis (B15-B19),F,Not Stated/Unknown,.
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,5
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,274
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,377
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Other Race/ Ethnicity,.
2010,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,414
2009,All Other Causes,M,Not Stated/Unknown,55
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,71
2008,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,12
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,496
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4507
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.
2012,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,.
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,94
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,7
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,182
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,29
2009,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,41
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,187
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,6
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,.
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",M,Asian and Pacific Islander,14
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1418
2014,Alzheimer's Disease (G30),F,Not Stated/Unknown,.
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,43
2009,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,629
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,.
2010,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1540
2009,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,225
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,51
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,163
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,105
2011,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,258
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Black Non-Hispanic,163
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,.
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,261
2014,Alzheimer's Disease (G30),F,Asian and Pacific Islander,26
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,31
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1349
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,41
2007,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,472
2008,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1756
2012,Diabetes Mellitus (E10-E14),F,Hispanic,200
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,222
2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.
2011,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,243
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1281
2011,Alzheimer's Disease (G30),F,Not Stated/Unknown,.
2007,Atherosclerosis (I70),F,Other Race/ Ethnicity,.
2009,Alzheimer's Disease (G30),F,Black Non-Hispanic,79
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,111
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,102
2011,All Other Causes,M,Not Stated/Unknown,38
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,79
2012,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,76
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,88
2011,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,209
2014,All Other Causes,F,Hispanic,1135
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4220
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,168
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,6
2013,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,96
2007,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,29
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,8
2007,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3518
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,177
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,.
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,111
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,240
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,22
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,99
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,8
2010,All Other Causes,M,Asian and Pacific Islander,308
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.
2010,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,18
2012,All Other Causes,F,Not Stated/Unknown,53
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,143
2013,All Other Causes,F,Hispanic,1082
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,10
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,108
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,214
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,6
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,5
2012,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,622
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,437
2014,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,502
2007,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,395
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,49
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,6
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,221
2008,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,210
2008,All Other Causes,M,Asian and Pacific Islander,238
2009,Alzheimer's Disease (G30),F,White Non-Hispanic,205
2013,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,94
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,204
2013,All Other Causes,M,Other Race/ Ethnicity,42
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,36
2011,All Other Causes,F,Hispanic,1025
2010,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,5
2013,All Other Causes,F,Black Non-Hispanic,1557
2007,Alzheimer's Disease (G30),F,White Non-Hispanic,107
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,218
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,29
2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",M,Asian and Pacific Islander,28
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,91
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,54
2009,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,7
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,11
2011,Diabetes Mellitus (E10-E14),M,Hispanic,200
2007,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,969
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,.
2007,All Other Causes,M,White Non-Hispanic,1749
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,70
2011,All Other Causes,F,Not Stated/Unknown,14
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5632
2010,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,388
2013,Alzheimer's Disease (G30),F,White Non-Hispanic,263
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,61
2009,All Other Causes,M,Asian and Pacific Islander,220
2009,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1557
2013,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,60
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,36
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,478
2011,Alzheimer's Disease (G30),F,Asian and Pacific Islander,24
2010,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,.
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,.
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,11
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5
2014,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,50
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,158
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,8
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,151
2011,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Not Stated/Unknown,.
2013,Alzheimer's Disease (G30),F,Hispanic,120
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,84
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,193
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,258
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,107
2010,All Other Causes,F,Not Stated/Unknown,18
2012,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,576
2014,All Other Causes,F,Not Stated/Unknown,48
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,.
2010,All Other Causes,M,Hispanic,1167
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,80
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,78
2007,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,345
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1354
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,6
2010,Certain Conditions originating in the Perinatal Period (P00-P96),F,Asian and Pacific Islander,18
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,219
2008,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,379
2014,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,73
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,103
2009,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,48
2012,All Other Causes,M,White Non-Hispanic,2316
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,46
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4156
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,.
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,5
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,54
2010,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,29
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,186
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,17
2011,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,190
2010,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,5
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,11
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,116
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.
2014,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1154
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,199
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2243
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,18
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,35
2014,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,71
2007,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1800
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,79
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,170
2009,All Other Causes,F,Not Stated/Unknown,26
2014,All Other Causes,M,White Non-Hispanic,2275
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,462
2009,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,506
2011,All Other Causes,F,Black Non-Hispanic,1473
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,15
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,83
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,469
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,258
2009,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,19
2013,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,32
2007,All Other Causes,F,Other Race/ Ethnicity,15
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,173
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,70
2010,Diabetes Mellitus (E10-E14),M,Hispanic,187
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,187
2009,All Other Causes,F,White Non-Hispanic,1684
2011,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,14
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,5
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1316
2012,Alzheimer's Disease (G30),F,Black Non-Hispanic,115
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,55
2011,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,696
2008,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,5
2007,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1523
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4085
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,220
2013,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,17
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,162
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,22
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,43
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,25
2008,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,529
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.
2014,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,50
2009,Atherosclerosis (I70),F,Other Race/ Ethnicity,.
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,8
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,37
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,153
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,318
2010,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,5
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,14
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,.
2013,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,265
2014,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3153
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,83
2011,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,33
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",M,Other Race/ Ethnicity,.
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,179
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,30
2007,All Other Causes,F,Not Stated/Unknown,27
2007,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,.
2012,All Other Causes,F,Black Non-Hispanic,1483
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,285
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,10
2008,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,246
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,24
2010,Alzheimer's Disease (G30),F,Black Non-Hispanic,88
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,143
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,155
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,101
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,25
2007,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,47
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,.
2013,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,467
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,18
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,166
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,86
2009,All Other Causes,F,Hispanic,775
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,122
2012,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,235
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,227
2008,All Other Causes,M,Other Race/ Ethnicity,8
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,394
2013,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1146
2010,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,382
2013,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,238
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,42
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,329
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,211
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,63
2011,All Other Causes,F,White Non-Hispanic,2445
2009,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,.
2010,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Other Race/ Ethnicity,.
2013,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,174
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.
2011,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,.
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,223
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,5
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8
2009,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,8
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,15
2011,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1144
2010,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3408
2010,All Other Causes,M,White Non-Hispanic,2034
